"search-number","evaluation","initial-fruit-bushes*","initial-foragers*","bush-growth-chance*","ticks-to-flee*","max-age*","collaboration-bonus*","rate-of-mutation*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","27","3","58","30","103","4.998654154268712","2.1","99.5","10","99.5","99.5"
"1","20","19","26","97","64","186","3.193276874952316","7.2","99.50384615384615","10","99.50384615384615","99.5"
"1","30","23","73","1","54","193","1.5283909361409935","2.9000000000000004","99.50821917808221","10","99.50821917808221","99.5068493150685"
"1","40","0","79","42","40","131","2.760512703135729","1.8","99.5006329113924","10","99.50821917808221","99.5068493150685"
"1","50","34","11","72","37","190","2.5740383001449607","7.9","99.5090909090909","10","99.5090909090909","99.5"
"1","60","6","35","46","75","370","4.89704280155642","4.800000000000001","99.50571428571429","10","99.5090909090909","99.5"
"1","70","26","47","97","53","250","4.77935606927596","8.4","99.5095744680851","10","99.5095744680851","99.53191489361703"
"1","80","30","62","71","25","336","0.4084977492942703","2.4000000000000004","99.50887096774193","10","99.5095744680851","99.53191489361703"
"1","90","14","17","28","13","418","2.1143572137026023","0.1","99.50294117647059","10","99.5095744680851","99.53191489361703"
"1","100","25","40","19","33","196","3.1507331960021365","9.5","99.515","10","99.515","99.5"
"1","110","14","61","88","100","353","1.2919707026779585","5.2","99.50983606557377","10","99.515","99.5"
"1","120","26","89","56","42","30","1.1576104371709774","4.5","99.51011235955056","10","99.515","99.5"
"1","130","33","42","49","26","165","1.391862363622492","7.300000000000001","99.51547619047616","10","99.51547619047616","99.5"
"1","140","34","75","90","62","443","0.8244388494697491","5.4","99.51133333333333","10","99.51547619047616","99.5"
"1","150","20","61","31","75","187","0.7246967269398031","4.6000000000000005","99.50901639344264","10","99.51547619047616","99.5"
"1","160","3","19","69","97","344","3.730269321736477","2.9000000000000004","99.5","10","99.51547619047616","99.5"
"1","170","30","18","77","8","221","4.557665369649806","0.2","99.5111111111111","10","99.51547619047616","99.5"
"1","180","34","76","36","71","17","3.0305790798809795","2.2","99.50986842105264","10","99.51547619047616","99.5"
"1","190","34","7","1","79","159","3.220866712443733","7","99.50714285714285","10","99.51547619047616","99.5"
"1","200","32","27","53","77","309","2.1260212100404368","3","99.5074074074074","10","99.51547619047616","99.5"
"1","210","17","6","19","63","378","0.8704966811627376","7","99.51666666666668","10","99.51666666666668","99.5"
"1","220","29","83","52","45","292","4.232494087129015","4.7","99.50783132530121","10","99.51666666666668","99.5"
"1","230","12","72","51","59","127","1.7598016327153432","6","99.50695422535212","10","99.51666666666668","99.5"
"1","240","27","88","78","24","111","1.050167086289769","2.7","99.51136363636363","10","99.51666666666668","99.5"
"1","250","7","60","86","38","258","2.0359243152513926","6.4","99.5025","10","99.51666666666668","99.5"
"1","260","25","52","42","22","447","4.475718318455787","7.9","99.5125","10","99.51666666666668","99.5"
"1","270","34","68","57","79","20","1.52420386053254","6.1000000000000005","99.51249999999999","10","99.51666666666668","99.5"
"1","280","9","40","22","13","372","3.0164476997024496","2.9000000000000004","99.50625","10","99.51666666666668","99.5"
"1","290","18","69","30","28","3","1.0155489433127338","7.7","99.50942028985509","10","99.51666666666668","99.5"
"1","300","6","19","53","32","180","4.511009384298466","8.200000000000001","99.50526315789475","10","99.51666666666668","99.5"
"1","310","5","41","39","26","128","2.3739559014267186","7.9","99.5","10","99.51666666666668","99.5"
"1","320","11","97","97","30","96","3.6020401312275885","5.2","99.50670103092781","10","99.51666666666668","99.5"
"1","330","26","88","1","15","382","3.204940871290151","7.9","99.50738636363636","10","99.51666666666668","99.5"
"1","340","29","67","45","22","219","1.0568215457389183","8.1","99.51195160560833","10","99.51666666666668","99.5"
"1","350","19","93","38","57","486","0.15293659876401924","3","99.50537634408602","10","99.51666666666668","99.5"
"1","360","9","45","92","94","255","0.721182574196994","2.1","99.50222222222223","10","99.51666666666668","99.5"
"1","370","30","80","95","80","44","0.9414526588845655","2.7","99.510625","10","99.51666666666668","99.5"
"1","380","4","25","33","86","209","1.822458228427558","0.1","99.5","10","99.51666666666668","99.5"
"1","390","37","40","44","64","461","1.5420737010757612","1.9000000000000001","99.525","10","99.525","99.5"
"1","400","29","18","59","14","220","1.8904982070649272","6.300000000000001","99.51388888888889","10","99.525","99.5"
"1","410","16","47","61","58","134","3.7150911726558333","9.8","99.5063829787234","10","99.525","99.5"
"1","420","37","79","62","62","240","1.8217853055619138","2.1","99.51584712755599","10","99.525","99.5"
"1","430","40","34","69","75","340","0.9935667963683528","6","99.51617647058823","10","99.525","99.5"
"1","440","12","11","75","82","47","4.905043106736858","8.5","99.50909090909092","10","99.525","99.5"
"1","450","17","91","44","87","449","2.7726253147173265","7","99.50274725274726","10","99.525","99.5"
"1","460","34","1","8","66","30","2.455379568169681","7.2","99.5","10","99.525","99.5"
"1","470","13","14","67","0","426","3.2850934615091174","0.7000000000000001","99.5","10","99.525","99.5"
"1","480","36","98","88","34","191","2.550934615091173","0.8","99.51126700680274","10","99.525","99.5"
"1","490","10","69","89","63","140","1.7379690241855499","1.6","99.50507246376812","10","99.525","99.5"
"1","500","20","20","92","54","18","1.5499992370489055","4.2","99.50750000000001","10","99.525","99.5"
